"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","6812","Şifrelerin uyuşmaması hata mesajı kontorlü","Default Suite","Sun Mar 02 20:30:12 TRT 2025","passed","Sun Mar 02 20:30:19 TRT 2025","NegativeCase","QA-Selenium-Test-Automation-Project","NegativeCase","RegisterWithMismatchedPasswordsTest"
"","3426","Yanlış formatta e-posta ile giriş kontrolü","Default Suite","Sun Mar 02 20:29:33 TRT 2025","passed","Sun Mar 02 20:29:36 TRT 2025","NegativeCase","QA-Selenium-Test-Automation-Project","NegativeCase","LoginWithInvalidEmailFormatTest"
"","15517","Yanlış doğrulama kodu girildiğinde hata mesajı kontrolü","Default Suite","Sun Mar 02 20:30:27 TRT 2025","passed","Sun Mar 02 20:30:42 TRT 2025","NegativeCase","QA-Selenium-Test-Automation-Project","NegativeCase","VerifyIncorrectVerificationCodeTest"
"","7760","Kayıtlı bir hesap ile tekrar kayyıt kontrolü","Default Suite","Sun Mar 02 20:29:57 TRT 2025","passed","Sun Mar 02 20:30:05 TRT 2025","NegativeCase","QA-Selenium-Test-Automation-Project","NegativeCase","RegisterWithExistingAccountTest"
"","64315","Başarılı kayıt işleminden sonra başarılı giriş kontrolü","Default Suite","Sun Mar 02 20:30:50 TRT 2025","passed","Sun Mar 02 20:31:54 TRT 2025","PositiveCase","QA-Selenium-Test-Automation-Project","PositiveCase","RegisterAndLoginTest"
"","3939","Kayıtlı olmayan bir e-posta ile giriş kontrolü","Default Suite","Sun Mar 02 20:29:46 TRT 2025","passed","Sun Mar 02 20:29:50 TRT 2025","NegativeCase","QA-Selenium-Test-Automation-Project","NegativeCase","LoginWithUnregisteredEmailTest"
